username,password,email
alice_johnson,mypassword,alice_johnson@example.com
andrew_black,mypassword,andrew_black@example.com
avraham_amram,mypassword,avraham_amram@example.com
bob_smith,mypassword,bob_smith@example.com
david_shmuel,mypassword,david_shmuel@example.com
jane_doe,mypassword,jane_doe@example.com
john_doe,mypassword,john_doe@example.com
michael_brown,mypassword,michael_brown@example.com
nathan_green,mypassword,nathan_green@example.com
sarah_white,mypassword,sarah_white@example.com
lili,1111,yar@gmail.com
